Team,HS,AS,HST,AST,HSC,ASC,HSTC,ASTC,HG,AG,HGC,AGC,HF,AF,HFC,AFC,HC,AC,HCC,ACC,PTR.H,PTR.A,PTR.O,HTSR,HTSTR,ATSR,ATSTR,HTSCR,HTSTCR,ATSCR,ATSTCR
Malaga,11.3333333333333,8.66666666666667,3,3.33333333333333,8.33333333333333,13.6666666666667,2.33333333333333,5,1,1.66666666666667,1,1.33333333333333,13.6666666666667,12,14.6666666666667,14.3333333333333,4,4.66666666666667,3.33333333333333,7.66666666666667,0.444444444444444,0.555555555555556,0.666666666666667,0.584866522366522,0.531746031746032,0.377495462794918,0.407407407407407,0.415133477633478,0.468253968253968,0.622504537205082,0.592592592592593
Ath Madrid,15.3333333333333,11.3333333333333,8,3.66666666666667,7,12.3333333333333,2.66666666666667,3,3.66666666666667,1.66666666666667,0.333333333333333,1,15,11.6666666666667,10,14,7.66666666666667,4.66666666666667,2.33333333333333,5,1,0.666666666666667,0.75,0.68318945511928,0.772331154684096,0.434139784946237,0.5,0.31681054488072,0.227668845315904,0.565860215053763,0.5
Espanol,13.6666666666667,9,6,3.33333333333333,10,10.6666666666667,3.66666666666667,3.66666666666667,1.33333333333333,2,1.66666666666667,1.33333333333333,14.3333333333333,16.3333333333333,13.6666666666667,13.3333333333333,6.33333333333333,3.66666666666667,1.66666666666667,4,0.666666666666667,0.555555555555556,0.666666666666667,0.578611111111111,0.619528619528619,0.449351851851852,0.472222222222222,0.421388888888889,0.38047138047138,0.550648148148148,0.527777777777778
La Coruna,14,6.66666666666667,5,3,7.33333333333333,12,2,5,1.66666666666667,0.666666666666667,1.66666666666667,2.66666666666667,10.3333333333333,10,12.3333333333333,10.6666666666667,6,1,3.66666666666667,7.33333333333333,0.444444444444444,0.111111111111111,0.416666666666667,0.661292559461896,0.678306878306878,0.363878446115288,0.407407407407407,0.338707440538104,0.321693121693122,0.636121553884712,0.592592592592593
Vallecano,12,13.3333333333333,4.66666666666667,3.66666666666667,13.6666666666667,13.3333333333333,4,4.66666666666667,1.33333333333333,1.66666666666667,2,2,14.6666666666667,13,12.3333333333333,13.3333333333333,6.66666666666667,7.66666666666667,3.66666666666667,7.33333333333333,0.444444444444444,0.222222222222222,0.416666666666667,0.483542188805347,0.594444444444444,0.486335125448029,0.453703703703704,0.516457811194653,0.405555555555556,0.513664874551971,0.546296296296296
Ath Bilbao,12.6666666666667,12.3333333333333,5.33333333333333,4.66666666666667,6.33333333333333,10,2.33333333333333,3.66666666666667,2.66666666666667,2,1,0.666666666666667,11,13.3333333333333,12.3333333333333,11,6.33333333333333,3,3,5.33333333333333,0.777777777777778,0.666666666666667,0.583333333333333,0.653103346601799,0.611111111111111,0.574747474747475,0.597402597402597,0.346896653398201,0.388888888888889,0.425252525252525,0.402597402597403
Betis,15.3333333333333,6.66666666666667,4.33333333333333,4,11.3333333333333,17.6666666666667,4.33333333333333,8,1.33333333333333,1.66666666666667,1,2.66666666666667,13.3333333333333,11.3333333333333,14.3333333333333,15.3333333333333,6.33333333333333,3.66666666666667,6.33333333333333,5,0.444444444444444,0.333333333333333,0.25,0.565628476084538,0.5,0.266384479717813,0.35359477124183,0.434371523915462,0.5,0.733615520282187,0.64640522875817
Levante,13.3333333333333,8,4.66666666666667,1.66666666666667,12.6666666666667,13,3.33333333333333,4,0.666666666666667,0.666666666666667,1,2,15,13.3333333333333,13,11.6666666666667,5,2.66666666666667,5.33333333333333,5,0.444444444444444,0.111111111111111,0.416666666666667,0.540184372969461,0.663492063492063,0.385227272727273,0.297619047619048,0.459815627030539,0.336507936507936,0.614772727272727,0.702380952380952
Sp Gijon,10,8,3,1.66666666666667,8.66666666666667,14,4.66666666666667,5,1.33333333333333,0,2.33333333333333,1,15,12.6666666666667,13,16.3333333333333,5,3.66666666666667,1.33333333333333,3.66666666666667,0.333333333333333,0.111111111111111,0.333333333333333,0.534444444444444,0.436507936507937,0.350597478048458,0.257142857142857,0.465555555555556,0.563492063492063,0.649402521951541,0.742857142857143
Granada,10.6666666666667,9.66666666666667,3.66666666666667,3,12,10.3333333333333,2.66666666666667,2.33333333333333,1.66666666666667,0.666666666666667,1,1,14.6666666666667,15,14,12.3333333333333,4,3.66666666666667,7,8.33333333333333,0.555555555555556,0.444444444444444,0.25,0.514161220043573,0.527777777777778,0.488064791133845,0.588888888888889,0.485838779956427,0.472222222222222,0.511935208866155,0.411111111111111
Villarreal,12.3333333333333,9,3.66666666666667,4.33333333333333,10.6666666666667,11.6666666666667,3.33333333333333,3.66666666666667,1.66666666666667,1.33333333333333,1,1.66666666666667,13.6666666666667,8.66666666666667,9.66666666666667,11.3333333333333,4.33333333333333,4,3.33333333333333,3.66666666666667,0.444444444444444,0.444444444444444,0.333333333333333,0.542572463768116,0.55,0.426289034132171,0.533333333333333,0.457427536231884,0.45,0.573710965867829,0.466666666666667
Barcelona,15.6666666666667,14.6666666666667,6.66666666666667,7,10.3333333333333,10,3.66666666666667,3.33333333333333,3,3.66666666666667,1,1,12.3333333333333,9.33333333333333,12.6666666666667,17.3333333333333,5,3.66666666666667,4.33333333333333,4.33333333333333,0.666666666666667,0.777777777777778,0.583333333333333,0.611471861471861,0.633333333333333,0.592261904761905,0.722222222222222,0.388528138528139,0.366666666666667,0.407738095238095,0.277777777777778
Celta,9,10,2.33333333333333,4,9.33333333333333,16,4,6,0.666666666666667,1.33333333333333,0.333333333333333,2.33333333333333,15,13.3333333333333,6.33333333333333,12.6666666666667,6,5,1.33333333333333,6,0.555555555555556,0.666666666666667,0.583333333333333,0.50924688057041,0.371428571428571,0.386166705007285,0.466666666666667,0.49075311942959,0.628571428571429,0.613833294992715,0.533333333333333
Real Madrid,20.3333333333333,15.6666666666667,9,6,8.33333333333333,13.3333333333333,4,4.33333333333333,3.66666666666667,2.33333333333333,0.666666666666667,1,12.6666666666667,13,11.3333333333333,13,6.66666666666667,6,6,4.33333333333333,0.666666666666667,1,1,0.701330532212885,0.641666666666667,0.533564814814815,0.577777777777778,0.298669467787115,0.358333333333333,0.466435185185185,0.422222222222222
Sociedad,13,10.3333333333333,3,3,10,11.3333333333333,4.33333333333333,4,0.666666666666667,0.666666666666667,1,1.66666666666667,15,10.3333333333333,15.6666666666667,20.6666666666667,9.66666666666667,2.33333333333333,3.66666666666667,7,0.222222222222222,0.333333333333333,0.333333333333333,0.566315789473684,0.433333333333333,0.475079744816587,0.424603174603175,0.433684210526316,0.566666666666667,0.524920255183413,0.575396825396825
Eibar,9,12.6666666666667,2.33333333333333,4.33333333333333,9.66666666666667,11.3333333333333,5,3.66666666666667,0.333333333333333,0.666666666666667,2.33333333333333,1,16.3333333333333,14.3333333333333,10.3333333333333,13.6666666666667,5.33333333333333,3,3.66666666666667,7.66666666666667,0,0.222222222222222,0.166666666666667,0.48253367003367,0.30952380952381,0.507568922305764,0.483333333333333,0.51746632996633,0.69047619047619,0.492431077694236,0.516666666666667
Getafe,11.6666666666667,10,3,2,12,14.3333333333333,4.33333333333333,7,0.666666666666667,0,1,4,11.6666666666667,11.6666666666667,13.3333333333333,12.3333333333333,5.66666666666667,5,5.66666666666667,5.33333333333333,0.222222222222222,0,0.166666666666667,0.514803312629399,0.40952380952381,0.405194805194805,0.228571428571429,0.4851966873706,0.59047619047619,0.594805194805195,0.771428571428571
Las Palmas,13,11.3333333333333,5.66666666666667,4.66666666666667,9.66666666666667,12,3.33333333333333,3,2.33333333333333,1,1,0,12.6666666666667,11.3333333333333,14,13.6666666666667,5.33333333333333,4.33333333333333,4.33333333333333,7.66666666666667,0.666666666666667,1,0.75,0.576455026455026,0.638095238095238,0.486745718050066,0.6,0.423544973544974,0.361904761904762,0.513254281949934,0.4
Sevilla,14.3333333333333,8.66666666666667,4.66666666666667,4,11,18.6666666666667,4.66666666666667,7.66666666666667,2,0.666666666666667,1.33333333333333,2.33333333333333,14.6666666666667,11,12.3333333333333,11.6666666666667,8.33333333333333,8,5.66666666666667,8,0.666666666666667,0.111111111111111,0.333333333333333,0.56783950617284,0.516666666666667,0.326050420168067,0.384920634920635,0.43216049382716,0.483333333333333,0.673949579831933,0.615079365079365
Valencia,11,8,3.33333333333333,2.33333333333333,15.6666666666667,12,5,4.33333333333333,0.333333333333333,1,2.66666666666667,1.33333333333333,12,16.3333333333333,12.6666666666667,14.3333333333333,5.66666666666667,2.33333333333333,6.33333333333333,6.66666666666667,0,0.333333333333333,0,0.416730024256906,0.401190476190476,0.396532999164578,0.403174603174603,0.583269975743094,0.598809523809524,0.603467000835422,0.596825396825397
